tran_id,orig_acct,bene_acct
1,2,Founded_by
1,3,Has_quantity
1,4,Has_quantity
1,5,Has_quantity
1,6,Has_quantity
1,7,Has_quantity
1,8,Has_quantity
1,9,Announced
1,9,Sponsored_by
9,10,Owned_by
10,11,Owned_by
1,12,Featured
1,13,Featured
12,14,Member_of
13,15,Member_of
13,16,Won
1,17,Played_at
17,18,Located_in
19,2,Founded_by
19,20,Featured
19,21,Featured
20,14,Member_of
21,15,Member_of
19,17,Played_at
19,3,Has_quantity
19,22,Has_quantity
19,23,Announced
23,24,Parent_company_of
19,23,Sponsored_by
19,24,Sponsored_by
19,25,Has_quantity
26,27,Featured
26,28,Featured
29,30,Scored
29,31,Intercepted
1,32,As_of
19,33,As_of
1,34,Part_of
19,35,Part_of
1,36,Final_ranking
19,37,Final_ranking
1,38,Alias
19,39,Alias
